#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5100,10.200000000000076,-44105.206160750524,6562.386143028184,-37542.82001772234,294.1209748916532,27.0,0.9916318011950421
5200,10.400000000000142,-44043.011203971044,6673.175159331975,-37369.83604463907,299.0864512858115,27.0,0.9916318011950421
5300,10.60000000000021,-43961.8537933494,6897.09184356176,-37064.761949787644,309.12222059666476,27.0,0.9916318011950421
5400,10.800000000000276,-43858.069382872716,6677.283285802864,-37180.78609706985,299.2705742764831,27.0,0.9916318011950421
5500,11.000000000000343,-44012.07982560648,6856.65417806844,-37155.42564753804,307.3098362995485,27.0,0.9916318011950421
5600,11.20000000000041,-44088.11949082865,6812.150303481973,-37275.96918734667,305.3152077155945,27.0,0.9916318011950421
5700,11.400000000000476,-44229.79301377787,6844.807863365716,-37384.985150412154,306.7788938110544,27.0,0.9916318011950421
5800,11.600000000000543,-44145.89043256296,6727.416822817548,-37418.473609745415,301.5175198935421,27.0,0.9916318011950421
5900,11.80000000000061,-44071.240044798986,6563.449959345789,-37507.7900854532,294.1686543005785,27.0,0.9916318011950421
6000,12.000000000000677,-44007.92757722391,6716.2346399919,-37291.692937232016,301.0163432723537,27.0,0.9916318011950421
6100,12.200000000000744,-43931.68838140024,6719.835561925139,-37211.852819475105,301.17773375539286,27.0,0.9916318011950421
6200,12.40000000000081,-43942.63984605326,6848.460898796265,-37094.178947256994,306.9426199799706,27.0,0.9916318011950421
6300,12.600000000000877,-43935.819278922216,6737.871963860422,-37197.94731506179,301.98611107503274,27.0,0.9916318011950421
6400,12.800000000000944,-43952.221003737584,6768.755850659941,-37183.46515307765,303.3703025407496,27.0,0.9916318011950421
6500,13.00000000000101,-43656.96656152262,6569.532098447277,-37087.43446307534,294.44125098156735,27.0,0.9916318011950421
6600,13.200000000001078,-43666.94511338724,6679.66636108574,-36987.2787523015,299.3773818324793,27.0,0.9916318011950421
6700,13.400000000001144,-43671.04995652689,6668.4594425727,-37002.590513954194,298.875096577277,27.0,0.9916318011950421
6800,13.600000000001211,-43627.73442694201,6719.824990100206,-36907.9094368418,301.17725993453143,27.0,0.9916318011950421
6900,13.800000000001278,-43690.680801596776,6745.525256226946,-36945.15554536983,302.3291256070814,27.0,0.9916318011950421
7000,14.000000000001345,-43736.726470198766,6638.63297409418,-37098.093496104586,297.53829776732016,27.0,0.9916318011950421
7100,14.200000000001411,-44003.52037164225,6822.570384133132,-37180.94998750911,305.78222751796085,27.0,0.9916318011950421
7200,14.400000000001478,-43959.46422692789,6752.759495856411,-37206.704731071484,302.6533585257246,27.0,0.9916318011950421
7300,14.600000000001545,-43874.755236830846,6662.617186599238,-37212.13805023161,298.6132512690263,27.0,0.9916318011950421
7400,14.800000000001612,-43671.35600778116,6593.250253522686,-37078.105754258475,295.50427999896556,27.0,0.9916318011950421
7500,15.000000000001679,-43807.06857797159,6766.534329017995,-37040.5342489536,303.2707356916141,27.0,0.9916318011950421
7600,15.200000000001745,-43760.489209380285,6700.902263244885,-37059.5869461354,300.3291582305181,27.0,0.9916318011950421
7700,15.400000000001812,-43746.84447785868,6498.671776427607,-37248.172701431075,291.26534719606644,27.0,0.9916318011950421
7800,15.600000000001879,-43853.32928010477,6616.40420402517,-37236.9250760796,296.5420218120739,27.0,0.9916318011950421
7900,15.800000000001946,-44117.42850038065,6699.611418184104,-37417.81708219655,300.27130357225263,27.0,0.9916318011950421
8000,16.00000000000201,-44069.190518584386,6544.75232068884,-37524.43819789555,293.3306408722167,27.0,0.9916318011950421
8100,16.2000000000019,-43992.24047013773,6609.660576739631,-37382.5798933981,296.2397777520173,27.0,0.9916318011950421
8200,16.40000000000179,-43934.203973975316,6517.514862973352,-37416.689111001964,292.10987948417176,27.0,0.9916318011950421
8300,16.60000000000168,-44133.40501615061,6748.704631733878,-37384.700384416734,302.4716227115285,27.0,0.9916318011950421
8400,16.800000000001567,-44159.85025998606,6856.689987402612,-37303.160272583445,307.31144124568357,27.0,0.9916318011950421
8500,17.000000000001457,-44090.01002618326,6756.33283186803,-37333.677194315234,302.8135126294982,27.0,0.9916318011950421
8600,17.200000000001346,-44006.43096562876,6571.867009198448,-37434.56395643031,294.54589984121253,27.0,0.9916318011950421
8700,17.400000000001235,-43974.898863997594,6714.580522283551,-37260.318341714046,300.9422070203317,27.0,0.9916318011950421
8800,17.600000000001124,-44087.03451653971,6830.617705885238,-37256.41681065447,306.1429021365233,27.0,0.9916318011950421
8900,17.800000000001013,-44002.92852612986,6758.366417430155,-37244.562108699705,302.90465633165496,27.0,0.9916318011950421
9000,18.000000000000902,-43880.29311868204,6702.654049566187,-37177.63906911586,300.40767191279673,27.0,0.9916318011950421
9100,18.20000000000079,-43901.5822384025,6743.726658495955,-37157.85557990654,302.2485138743142,27.0,0.9916318011950421
9200,18.40000000000068,-43796.382399764196,6703.773813779679,-37092.60858598452,300.4578588623213,27.0,0.9916318011950421
9300,18.60000000000057,-43971.748376097814,7006.9408937199205,-36964.807482377895,314.04556844899514,27.0,0.9916318011950421
9400,18.80000000000046,-43893.758948531286,6779.016225979632,-37114.74272255165,303.83016447602876,27.0,0.9916318011950421
9500,19.000000000000348,-43855.60543748392,6567.93264754392,-37287.67278994,294.36956485266035,27.0,0.9916318011950421
9600,19.200000000000237,-43990.788970198766,6804.478535915098,-37186.31043428367,304.97136513962715,27.0,0.9916318011950421
9700,19.400000000000126,-43861.26392575754,6616.141540498695,-37245.122385258845,296.5302494398314,27.0,0.9916318011950421
9800,19.600000000000016,-43888.90981217875,6637.099709852775,-37251.81010232597,297.46957807243786,27.0,0.9916318011950421
9900,19.799999999999905,-44012.70862313761,6824.033082991091,-37188.67554014652,305.847784527972,27.0,0.9916318011950421
10000,19.999999999999794,-44052.21061250223,6736.040154122258,-37316.17045837997,301.9040108062796,27.0,0.9916318011950421
10100,20.199999999999683,-44047.41433831705,6734.415145458329,-37312.999192858726,301.8311791986867,27.0,0.9916318011950421
10200,20.399999999999572,-44089.85966798319,6802.64928341574,-37287.21038456745,304.8893794843018,27.0,0.9916318011950421
10300,20.59999999999946,-44003.74199744715,6617.542071956218,-37386.19992549093,296.5930201559513,27.0,0.9916318011950421
10400,20.79999999999935,-44106.84946939005,6689.256668159313,-37417.592801230734,299.8072118370709,27.0,0.9916318011950421
10500,20.99999999999924,-44159.373570647374,6719.882429394929,-37439.491141252445,301.179834318451,27.0,0.9916318011950421
10600,21.19999999999913,-44007.42172214045,6720.598225668107,-37286.82349647234,301.2119157432716,27.0,0.9916318011950421
10700,21.399999999999018,-43911.86228009714,6680.77673327372,-37231.08554682342,299.4271478388226,27.0,0.9916318011950421
10800,21.599999999998907,-43838.474168028966,6633.4975431898,-37204.97662483917,297.30813180159294,27.0,0.9916318011950421
10900,21.799999999998796,-43939.868394103185,6711.289032576821,-37228.57936152636,300.79468504581064,27.0,0.9916318011950421
11000,21.999999999998685,-43986.58179685129,6602.058373299489,-37384.5234235518,295.89905298538423,27.0,0.9916318011950421
11100,22.199999999998575,-43972.71898385538,6757.723562543191,-37214.99542131219,302.87584408227696,27.0,0.9916318011950421
11200,22.399999999998464,-43972.27180978312,6834.474643555421,-37137.7971662277,306.31576704311766,27.0,0.9916318011950421
11300,22.599999999998353,-44101.846226897374,6803.247577536892,-37298.59864936048,304.916194555276,27.0,0.9916318011950421
11400,22.799999999998242,-43928.07000466837,6725.2927592734195,-37202.77724539495,301.4223210395407,27.0,0.9916318011950421
11500,22.99999999999813,-44083.303450789586,6805.965277656225,-37277.338173133365,305.0379997327129,27.0,0.9916318011950421
11600,23.19999999999802,-43824.123031821386,6678.096289551876,-37146.02674226951,299.30701246375804,27.0,0.9916318011950421
11700,23.39999999999791,-43803.86900540842,6528.531515855805,-37275.337489552614,292.6036371837659,27.0,0.9916318011950421
11800,23.5999999999978,-43990.96774884714,6748.212547633866,-37242.75520121328,302.4495678899941,27.0,0.9916318011950421
11900,23.799999999997688,-43904.71115037455,6710.487934318978,-37194.22321605557,300.75878045326675,27.0,0.9916318011950421
12000,23.999999999997577,-44119.68134995951,6830.323271877604,-37289.3580780819,306.12970583635456,27.0,0.9916318011950421
12100,24.199999999997466,-43960.68005105509,6584.909063263292,-37375.770987791795,295.1304344255142,27.0,0.9916318011950421
12200,24.399999999997355,-43828.830407347814,6582.097827681557,-37246.732579666255,295.0044370623708,27.0,0.9916318011950421
12300,24.599999999997245,-43908.88405534281,6611.924420295323,-37296.95963504749,296.3412414359716,27.0,0.9916318011950421
12400,24.799999999997134,-43968.28869744791,6791.237609091514,-37177.0510883564,304.37791723501715,27.0,0.9916318011950421
12500,24.999999999997023,-43722.907973494664,6579.474604816846,-37143.43336867782,294.8868662810253,27.0,0.9916318011950421
12600,25.199999999996912,-43908.30136796488,6891.808027076689,-37016.49334088819,308.88540410615866,27.0,0.9916318011950421
12700,25.3999999999968,-43947.958153929845,6861.495396720127,-37086.462757209716,307.5268159039887,27.0,0.9916318011950421
12800,25.59999999999669,-43708.11577340616,6696.22346970638,-37011.89230369979,300.119458391638,27.0,0.9916318011950421
12900,25.79999999999658,-43804.73728677286,6749.791555217632,-37054.94573155523,302.52033776542913,27.0,0.9916318011950421
