,time,distance,energy
0,0.15,0.0,0.0
1,0.25,0.0,0.0
2,0.35,0.0,0.0
3,0.45,0.0,0.0
4,0.55,0.0,0.0
5,0.65,0.0,0.0
6,0.75,0.0,0.0
7,0.8500000000000001,0.0,0.0
8,0.95,0.0,0.0
9,1.05,0.0,0.0
10,1.15,0.0,0.0
11,1.25,0.0,0.0
12,1.35,0.0,0.0
13,1.4500000000000002,0.0,0.0
14,1.55,0.0,0.0
15,1.65,0.0,0.0
16,1.75,0.0,0.0
17,1.85,0.0,0.0
18,1.95,0.0,0.0
19,2.0500000000000003,0.0,0.0
20,2.15,0.0,0.0
21,2.25,0.0,0.0
22,2.35,9.713773912918497e-06,2.2324044670413384e-06
23,2.45,0.0141384977108289,0.0035338962713264
24,2.5500000000000003,0.4187445572932811,0.1168440498049436
25,2.6500000000000004,1.8981647614863324,0.6715474469664406
26,2.75,2.8654785731460035,1.5733138370009845
27,2.85,2.470188276133006,2.408239804887851
28,2.95,1.747961036725754,3.041235859112956
29,3.0500000000000003,1.247150395522806,3.524006719537448
30,3.1500000000000004,1.0023358968104117,3.937867718873295
31,3.25,0.8995066310381644,4.333224317581857
32,3.35,0.8713776229756789,4.740147003834151
33,3.45,0.864733836249086,5.168433800836041
34,3.5500000000000003,0.8781768777471034,5.628956518341991
35,3.65,0.9003658520165195,6.128088671105437
36,3.75,0.9224348810338024,6.667857282382419
37,3.85,0.9517976362521544,7.254905987866869
38,3.95,0.9774343785963798,7.889489281668047
39,4.05,1.0047512457377032,8.575252680280613
40,4.15,1.027441079437958,9.311557716026986
41,4.25,1.0492576032155831,10.10017022084061
42,4.3500000000000005,1.0598170507471,10.934643010620643
43,4.45,1.0699768253068171,11.816293204002688
44,4.55,1.0640099834250183,12.732871597676056
45,4.65,1.0582485294176585,13.68499656767812
46,4.75,1.0487568163238845,14.669600790271192
47,4.8500000000000005,1.035285503267515,15.682911501905927
48,4.95,1.0200432043465206,16.72289721451732
49,5.050000000000001,1.007433240364683,17.791944368480657
50,5.15,0.990106465425111,18.884625988536648
51,5.25,0.9796376185841048,20.008146043900236
52,5.3500000000000005,0.9655016010580586,21.15803749323303
53,5.45,0.9532692619646284,22.33619788033193
54,5.550000000000001,0.9399059432160456,23.54086137326358
55,5.65,0.9324376751490202,24.77940606879153
56,5.75,0.931255812054236,26.060553971168485
57,5.8500000000000005,0.9370714744217996,27.3949313256576
58,5.95,0.948724762606262,28.792483494159463
59,6.050000000000001,0.9645502580068932,30.26150832407815
60,6.15,0.979870247322219,31.803606449416478
61,6.25,0.9943967841974404,33.41987174836336
62,6.3500000000000005,1.0070451589936702,35.109491625692705
63,6.45,1.018312104600256,36.87224953817127
64,6.550000000000001,1.0280941655091085,38.70755166621085
65,6.65,1.034518134208639,40.61114081449271
66,6.75,1.0372998380045773,42.57768376874516
67,6.8500000000000005,1.0357472788045254,44.59989396078776
68,6.95,1.0348436057762749,46.67976046300073
69,7.050000000000001,1.033425104221789,48.81697520356731
70,7.15,1.028065136583157,51.00384754909901
71,7.25,1.0201528471832866,53.235013031661055
72,7.35,1.014485427933438,55.51541196233933
73,7.45,1.0078005000467145,57.84284542273365
74,7.550000000000001,1.0028997600402585,60.2215549813316
75,7.65,0.99428518950407,62.64271594327461
76,7.75,0.9925440011448852,65.12323653999634
77,7.85,0.9896715013826834,67.66081739489562
78,7.95,0.9889561842194136,70.26157976102108
79,8.05,0.9897789430458868,72.93039920972889
80,8.15,0.9899415095548636,75.66638501163638
81,8.25,0.9895988741133518,78.4689522767736
82,8.35,0.991497175423798,81.34537864370273
83,8.450000000000001,0.9946309466594208,84.30042359874746
84,8.55,0.9964567229158446,87.33137700288545
85,8.65,0.9986827370603032,90.44057395118844
86,8.75,1.000524152050425,93.6279407743094
87,8.85,1.0016304880854237,96.89218267765742
88,8.950000000000001,1.003616007908722,100.23722646069024
89,9.05,1.0045392642547757,103.66058299242655
90,9.15,1.002967285991584,107.1545348506243
91,9.25,1.0013861274217046,110.71964460120888
92,9.35,1.0030488790959171,114.3683020889724
93,9.45,1.0016038642361411,118.09005296379604
94,9.55,1.000157930878377,121.88549997488546
95,9.65,1.0011906365766028,125.76484967546406
96,9.75,0.9999192302273768,129.7199872752945
97,9.85,1.0010852025576098,133.76137828651775
98,9.95,0.9999556886182908,137.88059091746257
99,10.05,1.0006200371719514,142.08580916290384
