#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2100,4.1999999999997595,-44148.69234010233,6654.945889870058,-37493.74645023227,298.2694297956333,27.0,0.9916318011950421
2200,4.3999999999997375,-44081.898987975255,6682.900803706716,-37398.99818426854,299.5223470015776,27.0,0.9916318011950421
2300,4.599999999999715,-43982.87163468851,6552.348371419902,-37430.52326326861,293.67108987927793,27.0,0.9916318011950421
2400,4.799999999999693,-44300.56849118723,6975.427681364982,-37325.140809822246,312.6331711078772,27.0,0.9916318011950421
2500,4.999999999999671,-43992.75382157816,6719.792007532605,-37272.96181404556,301.17578168184616,27.0,0.9916318011950421
2600,5.199999999999649,-44225.57337686075,6893.717741107216,-37331.855635753534,308.9709959838966,27.0,0.9916318011950421
2700,5.399999999999627,-43860.9871627952,6615.410586006191,-37245.57657678901,296.4974886355674,27.0,0.9916318011950421
2800,5.599999999999605,-43771.64701196207,6682.734664433754,-37088.91234752832,299.5149007703034,27.0,0.9916318011950421
2900,5.799999999999583,-43615.35874482645,6633.618944953139,-36981.739799873314,297.31357293294496,27.0,0.9916318011950421
3000,5.999999999999561,-43581.984326567785,6738.73976005609,-36843.2445665117,302.025005016583,27.0,0.9916318011950421
3100,6.199999999999539,-43710.7067520286,6910.94973614671,-36799.75701588189,309.74332042044756,27.0,0.9916318011950421
3200,6.399999999999517,-43722.35964414133,6821.8194924799445,-36900.540151661386,305.74857314586814,27.0,0.9916318011950421
3300,6.599999999999495,-43834.3350641395,6808.263146210414,-37026.07191792909,305.1409883902836,27.0,0.9916318011950421
3400,6.799999999999473,-43862.40479966654,6756.537000340353,-37105.86779932619,302.8226632995156,27.0,0.9916318011950421
3500,6.999999999999451,-44022.65948792948,6822.023109950948,-37200.63637797853,305.7576991204407,27.0,0.9916318011950421
3600,7.199999999999429,-44122.313121047155,6680.345020084805,-37441.96810096235,299.4077987939432,27.0,0.9916318011950421
3700,7.399999999999407,-44038.24765416636,6528.433572947495,-37509.814081218865,292.5992474598076,27.0,0.9916318011950421
3800,7.599999999999385,-44047.98125859751,6617.862871163772,-37430.11838743374,296.6073981236011,27.0,0.9916318011950421
3900,7.799999999999363,-43997.616414275304,6643.393805699507,-37354.2226085758,297.75167448769815,27.0,0.9916318011950421
4000,7.999999999999341,-44051.58793183817,6613.963992113359,-37437.623939724814,296.4326534374003,27.0,0.9916318011950421
4100,8.199999999999408,-44182.72995492472,6728.178752456767,-37454.55120246795,301.55166897946935,27.0,0.9916318011950421
4200,8.399999999999475,-44010.25518723978,6631.356290867929,-37378.89889637185,297.2121625601202,27.0,0.9916318011950421
4300,8.599999999999541,-44140.34670564188,6647.691504362291,-37492.65520127959,297.94429395460224,27.0,0.9916318011950421
4400,8.799999999999608,-44038.41904756083,6500.877153977048,-37537.54189358378,291.36419047969963,27.0,0.9916318011950421
4500,8.999999999999675,-43999.804805007116,6629.567190577638,-37370.237614429476,297.1319764951599,27.0,0.9916318011950421
4600,9.199999999999742,-43922.020934310094,6433.664942053597,-37488.3559922565,288.3517921135121,27.0,0.9916318011950421
4700,9.399999999999809,-44204.713816847936,6783.714083765756,-37420.99973308218,304.0407187594619,27.0,0.9916318011950421
4800,9.599999999999875,-44071.11737271799,6682.236690552067,-37388.880682165924,299.4925819733963,27.0,0.9916318011950421
4900,9.799999999999942,-44066.95719357981,6833.408873479464,-37233.548320100344,306.26800006828273,27.0,0.9916318011950421
5000,10.000000000000009,-44183.83241101755,6641.208042983944,-37542.624368033605,297.65371032546034,27.0,0.9916318011950421
5100,10.200000000000076,-44148.015180316106,6704.612426207233,-37443.40275410887,300.4954448103854,27.0,0.9916318011950421
5200,10.400000000000142,-44345.672868695394,6909.546948235879,-37436.12592045951,309.68044857186885,27.0,0.9916318011950421
5300,10.60000000000021,-44154.10961457743,6629.477344841837,-37524.63226973559,297.1279496800918,27.0,0.9916318011950421
5400,10.800000000000276,-44279.81153508677,6655.873129718015,-37623.93840536875,298.3109879548296,27.0,0.9916318011950421
5500,11.000000000000343,-44226.866937842504,6646.996886899291,-37579.87005094321,297.91316174736215,27.0,0.9916318011950421
5600,11.20000000000041,-44221.76973649515,6671.720946042908,-37550.048790452245,299.0212745923103,27.0,0.9916318011950421
5700,11.400000000000476,-44123.901464667455,6623.20518058163,-37500.696284085825,296.8468362212545,27.0,0.9916318011950421
5800,11.600000000000543,-44205.88703652872,6705.606539026886,-37500.28049750184,300.5400001634683,27.0,0.9916318011950421
5900,11.80000000000061,-44058.89466687693,6552.319779900228,-37506.5748869767,293.6698084299001,27.0,0.9916318011950421
6000,12.000000000000677,-44156.65526982798,6592.144863328784,-37564.51040649919,295.4547372816703,27.0,0.9916318011950421
6100,12.200000000000744,-44212.370241370336,6693.928534601204,-37518.44170676913,300.01660120894013,27.0,0.9916318011950421
6200,12.40000000000081,-44221.3752815391,6636.194774110784,-37585.18050742831,297.42901956569233,27.0,0.9916318011950421
6300,12.600000000000877,-44257.0273430015,6640.5092965647145,-37616.51804643679,297.62239306165617,27.0,0.9916318011950421
6400,12.800000000000944,-43956.028224673406,6548.861123772102,-37407.16710090131,293.5147941881215,27.0,0.9916318011950421
6500,13.00000000000101,-44041.593218054906,6653.256683178236,-37388.33653487667,298.1937208830269,27.0,0.9916318011950421
6600,13.200000000001078,-44094.36745664133,6551.653904558131,-37542.7135520832,293.6399644218662,27.0,0.9916318011950421
6700,13.400000000001144,-44003.13218137278,6598.89319451994,-37404.23898685284,295.7571921670695,27.0,0.9916318011950421
6800,13.600000000001211,-43962.28873940958,6629.65101617378,-37332.6377232358,297.13573349231314,27.0,0.9916318011950421
6900,13.800000000001278,-43998.16272279276,6764.636738330602,-37233.52598446216,303.1856871725607,27.0,0.9916318011950421
7000,14.000000000001345,-44134.15939160837,6809.474451156549,-37324.68494045182,305.19527812329886,27.0,0.9916318011950421
7100,14.200000000001411,-43923.16276284708,6686.9363155039055,-37236.22644734318,299.70321545980397,27.0,0.9916318011950421
7200,14.400000000001478,-44110.41762181772,6833.290747481012,-37277.12687433671,306.2627057541312,27.0,0.9916318011950421
7300,14.600000000001545,-43876.23630067362,6794.692355352079,-37081.54394532154,304.53275623961315,27.0,0.9916318011950421
7400,14.800000000001612,-43781.49000092997,6478.015044279441,-37303.47495665053,290.3395287414562,27.0,0.9916318011950421
7500,15.000000000001679,-43815.91974374308,6554.438764741517,-37261.48097900156,293.7647796604429,27.0,0.9916318011950421
7600,15.200000000001745,-44021.42263814463,6727.551710043695,-37293.870928100936,301.5235654327088,27.0,0.9916318011950421
7700,15.400000000001812,-43770.75259992136,6569.9079595385,-37200.844640382864,294.45809677944715,27.0,0.9916318011950421
7800,15.600000000001879,-43880.84742089762,6677.971401836724,-37202.876019060895,299.3014150947932,27.0,0.9916318011950421
7900,15.800000000001946,-43904.48633023752,6619.079404906525,-37285.406925331,296.6619222071599,27.0,0.9916318011950421
8000,16.00000000000201,-43905.00489541544,6826.880749287941,-37078.1241461275,305.9754146870546,27.0,0.9916318011950421
8100,16.2000000000019,-43703.66430017008,6721.76733763899,-36981.896962531086,301.26431442038984,27.0,0.9916318011950421
8200,16.40000000000179,-43883.78473397745,6956.092937563433,-36927.691796414016,311.76660312905847,27.0,0.9916318011950421
8300,16.60000000000168,-43814.98631593241,6877.3831300145785,-36937.60318591783,308.23889158858503,27.0,0.9916318011950421
8400,16.800000000001567,-43841.541037764684,6843.053475940889,-36998.48756182379,306.70026354936584,27.0,0.9916318011950421
8500,17.000000000001457,-43536.38504525675,6748.40524025523,-36787.97980500152,302.45820422141605,27.0,0.9916318011950421
8600,17.200000000001346,-43535.98345109476,6876.9471577889635,-36659.0362933058,308.21935165703746,27.0,0.9916318011950421
8700,17.400000000001235,-43567.71110078348,6755.59663622981,-36812.11446455367,302.7805169212139,27.0,0.9916318011950421
8800,17.600000000001124,-43565.77206918253,6739.344919055718,-36826.427150126816,302.05212776600007,27.0,0.9916318011950421
